Date,Symbol,Weight
2026-06-15,NVDA.O,0.07142857142857142
2026-06-15,AVGO.O,0.07142857142857142
2026-06-15,AMD.O,0.07142857142857142
2026-06-15,MSFT.O,0.07142857142857142
2026-06-15,AAPL.O,0.07142857142857142
2026-06-15,GOOGL.O,0.07142857142857142
2026-06-15,META.O,0.07142857142857142
2026-06-15,TSM,0.07142857142857142
2026-06-15,MU.O,0.07142857142857142
2026-06-15,AMAT.O,0.07142857142857142
2026-06-15,LRCX.O,0.07142857142857142
2026-06-15,QCOM.O,0.07142857142857142
2026-06-15,ORCL,0.07142857142857142
2026-06-15,ASML.O,0.07142857142857142
2026-06-17,TRV,0.07142857142857142
2026-06-17,CB,0.07142857142857142
2026-06-17,PGR,0.07142857142857142
2026-06-17,CINF.O,0.07142857142857142
2026-06-17,AJG,0.07142857142857142
2026-06-17,BRO,0.07142857142857142
2026-06-17,DHI,0.07142857142857142
2026-06-17,LEN,0.07142857142857142
2026-06-17,PHM,0.07142857142857142
2026-06-17,BLD,0.07142857142857142
2026-06-17,OC,0.07142857142857142
2026-06-17,KO,0.07142857142857142
2026-06-17,WMT,0.07142857142857142
2026-06-17,NEE,0.07142857142857142
