Date,Symbol,Weight
2026-06-22,LLY,0.07142857142857142
2026-06-22,ABBV,0.07142857142857142
2026-06-22,MRK,0.07142857142857142
2026-06-22,JNJ,0.07142857142857142
2026-06-22,AMGN.O,0.07142857142857142
2026-06-22,PG,0.07142857142857142
2026-06-22,COST.O,0.07142857142857142
2026-06-22,PEP.O,0.07142857142857142
2026-06-22,CL,0.07142857142857142
2026-06-22,MDLZ.O,0.07142857142857142
2026-06-22,SO,0.07142857142857142
2026-06-22,AEP.O,0.07142857142857142
2026-06-22,D,0.07142857142857142
2026-06-22,VZ,0.07142857142857142
