Date,Symbol,Weight
2026-06-15,NVDA,0.07142857142857142
2026-06-15,AVGO,0.07142857142857142
2026-06-15,AMD,0.07142857142857142
2026-06-15,MU,0.07142857142857142
2026-06-15,TSM,0.07142857142857142
2026-06-15,MRVL,0.07142857142857142
2026-06-15,NEM,0.07142857142857142
2026-06-15,AEM,0.07142857142857142
2026-06-15,WPM,0.07142857142857142
2026-06-15,KGC,0.07142857142857142
2026-06-15,INTC,0.07142857142857142
2026-06-15,LRCX,0.07142857142857142
2026-06-15,AMAT,0.07142857142857142
2026-06-15,KLAC,0.07142857142857142
2026-06-17,TSM,0.07142857142857142
2026-06-17,INTC,0.07142857142857142
2026-06-17,AMAT,0.07142857142857142
2026-06-17,LRCX,0.07142857142857142
2026-06-17,KLAC,0.07142857142857142
2026-06-17,NVDA,0.07142857142857142
2026-06-17,AVGO,0.07142857142857142
2026-06-17,MU,0.07142857142857142
2026-06-17,MRVL,0.07142857142857142
2026-06-17,AMD,0.07142857142857142
2026-06-17,ARM,0.07142857142857142
2026-06-17,VRTX,0.07142857142857142
2026-06-17,REGN,0.07142857142857142
2026-06-17,GILD,0.07142857142857142
